properties;0
parameters;10;1;2;3;4;5;6;7;8;9;10
3.74;28,24;302,58;1148,95;11,53;109,48;85,55;10000,00;10,08;15,51
7.205;29,67;389,53;1602,85;56,10;124,60;85,55;10000,00;19,55;27,82
2.63;32,30;420,28;1513,65;58,93;121,50;254,30;1391,00;12,46;21,98
2.68;43,58;551,53;1994,60;49,18;195,18;254,30;1391,00;12,33;32,13
9.53;41,09;590,55;2283,65;85,88;235,30;254,30;1391,00;16,85;33,14
3.24;51,30;502,45;1546,35;68,73;191,85;23,21;5272,00;13,01;17,91
3.16;53,89;553,88;2033,28;64,30;176,68;23,21;5272,00;17,00;21,94
11.24;51,98;714,88;2138,58;46,18;179,40;23,21;5272,00;16,11;20,71
3.17;32,96;328,03;1187,05;44,45;66,10;354,60;10000,00;13,09;21,20
5.94;33,20;386,70;1426,78;44,40;92,68;354,60;10000,00;17,03;26,19
7.78;36,04;451,60;1696,48;83,93;121,08;10000,00;10000,00;11,31;25,00
17.63;72,84;5811,45;100000,00;3155,40;2060,45;41,51;1,36;17,37;28,31
