properties;0
parameters;4;base;zero;neg;pos
0.68;2.33;0.52;-0.63
0.95;0.80;0.73;-0.82
1.59;1.66;1.73;-1.59
-1.14;0.39;-1.23;1.23
0.39;0.60;0.45;-0.36
1.04;-1.23;1.11;-1.04
0.51;-0.77;0.54;-0.45
-0.08;0.07;-0.17;0.07
-1.01;1.48;-1.38;1.08
1.60;-0.95;1.46;-1.67
-0.11;-0.35;-0.30;0.13
0.69;-0.45;0.47;-0.76
-0.21;-0.27;-0.24;0.24
0.28;-0.34;0.34;-0.24
1.09;0.31;1.23;-1.11
-1.59;1.10;-1.09;1.46
-0.25;0.24;-0.29;0.30
-0.41;0.29;-0.51;0.45
-1.78;-0.94;-2.14;1.83
-0.34;0.87;-0.38;0.39
0.90;2.61;0.61;-0.85
0.80;-0.16;0.70;-0.80
-1.67;0.59;-1.75;1.53
0.98;0.82;0.84;-0.89
-0.41;-0.08;-0.64;0.43
-0.85;0.73;-0.79;0.89
-1.01;-0.75;-0.81;1.08
0.96;1.09;0.88;-0.90
0.13;-0.43;0.01;-0.10
1.16;-0.75;1.45;-1.08
-0.10;1.49;-0.25;0.13
0.67;1.43;0.43;-0.65
-3.36;1.43;-1.91;2.91
0.94;0.15;0.55;-0.88
-2.39;-1.13;-2.84;2.32
-0.32;-0.11;-0.47;0.34
-0.06;-0.62;-0.15;-0.00
0.14;-1.34;0.12;-0.11
-0.04;-0.02;-0.22;0.02
0.05;-1.32;-0.15;-0.06
0.47;-1.52;0.30;-0.45
-0.49;0.74;-0.58;0.54
0.62;0.09;0.43;-0.59
0.56;-0.32;0.49;-0.46
-0.08;1.06;-0.04;0.09
-0.09;-0.17;-0.26;0.08
-0.14;0.85;-0.26;0.16
-1.09;-0.34;-1.18;1.20
-0.99;-0.54;-0.89;1.05
-0.20;0.68;-0.30;0.20
0.65;1.77;0.46;-0.62
-0.45;-0.78;-0.51;0.41
0.03;0.08;-0.04;0.01
-0.18;0.07;-0.38;0.22
2.43;0.86;1.10;-2.36
0.96;-0.08;0.97;-0.84
-0.21;1.14;-0.31;0.24
-1.47;0.29;-1.51;1.36
-1.41;-2.36;-1.56;1.36
0.99;-1.17;0.69;-0.96
1.39;-1.85;1.18;-1.43
1.19;0.46;1.16;-1.13
-0.53;1.15;-0.52;0.62
1.20;-0.96;1.24;-1.28
1.42;0.35;1.41;-1.31
0.38;0.33;0.37;-0.34
-0.32;-0.71;-0.38;0.26
-0.29;-1.87;-0.23;0.34
0.20;0.01;0.27;-0.14
0.48;-1.52;0.48;-0.46
-1.58;-2.21;-1.48;1.72
-0.84;0.76;-0.92;1.00
0.28;0.28;0.31;-0.26
1.04;-0.29;1.18;-1.00
-0.90;0.26;-0.89;0.87
-0.16;-1.19;-0.11;0.17
-1.27;-0.40;-1.35;1.30
0.30;2.09;0.38;-0.30
0.59;0.28;0.46;-0.58
-1.35;0.96;-1.64;1.64
0.63;-1.33;0.55;-0.55
1.04;0.28;0.94;-0.95
-0.95;-0.67;-1.29;0.95
0.76;-0.92;0.59;-0.76
-1.24;-1.01;-1.07;1.10
-0.02;-0.85;-0.14;-0.03
-0.01;-0.73;-0.11;0.04
-0.35;-0.45;-0.49;0.38
-1.00;0.43;-0.91;1.07
-1.70;-0.40;-1.61;1.87
-0.89;0.40;-1.04;0.99
-2.16;0.59;-2.57;1.96
0.52;-0.80;0.44;-0.51
0.31;-0.47;0.20;-0.32
-1.63;-1.85;-1.58;1.67
-0.59;-1.72;-0.80;0.58
-0.37;-1.13;-0.52;0.37
-0.10;0.51;-0.20;0.17
-0.62;-0.31;-0.60;0.62
-0.60;-0.10;-0.60;0.64
-0.52;-0.30;-0.52;0.50
-0.05;-1.42;-0.05;0.03
-0.59;-0.34;-0.65;0.68
-0.65;-1.33;-0.73;0.72
0.72;0.95;0.63;-0.67
0.70;-0.55;0.62;-0.68
-0.13;1.74;-0.26;0.10
0.97;-0.19;1.19;-0.88
-0.02;-1.00;0.12;0.01
-0.20;0.33;-0.29;0.27
0.63;1.19;0.77;-0.59
0.20;0.48;-0.08;-0.21
0.11;0.22;0.25;-0.11
0.77;-0.07;0.56;-0.70
0.75;1.43;0.62;-0.67
-0.89;0.07;-0.91;1.01
-0.31;0.25;-0.37;0.31
-0.17;-0.16;-0.26;0.19
-0.98;0.69;-1.23;1.00
1.82;-0.29;2.24;-1.49
-0.44;0.99;-0.48;0.45
-1.26;-0.26;-1.31;1.28
0.10;-0.03;-0.04;-0.06
-0.21;-0.73;-0.26;0.27
-1.57;0.06;-1.64;1.58
-0.65;0.50;-0.70;0.66
-1.18;1.54;-1.04;1.16
-2.92;-0.30;-2.75;2.80
-0.48;0.43;-0.51;0.52
0.14;-0.18;0.16;-0.14
-0.92;-1.79;-0.85;0.94
-0.25;-0.53;-0.31;0.28
0.57;-0.08;0.50;-0.48
0.86;1.39;1.11;-0.82
0.31;-0.75;0.36;-0.30
1.46;1.77;1.29;-1.38
1.69;-0.96;2.84;-1.47
-1.52;-0.56;-1.42;1.43
0.25;-0.17;0.34;-0.21
-0.78;-0.28;-0.84;0.83
-0.18;-0.64;-0.21;0.19
0.52;-0.44;0.44;-0.56
0.48;0.32;0.33;-0.41
0.24;-0.77;0.30;-0.22
-0.85;-0.09;-0.96;0.87
0.20;0.32;0.11;-0.21
1.79;-0.02;1.74;-1.83
0.03;-0.47;0.30;-0.06
0.13;0.34;0.17;-0.18
-1.31;0.71;-1.58;1.37
1.61;2.08;1.84;-1.66
0.73;1.11;0.64;-0.67
0.29;-0.88;0.17;-0.25
1.28;0.47;1.22;-1.28
0.39;-0.90;0.33;-0.33
