A;a;0;0
A;b;0;25
A;c;0;50
A;d;0;75
A;e;0;100
B;a;25;0
B;b;25;25
B;c;25;50
B;d;25;75
B;e;25;100
H;a;175;0
H;b;175;25
H;c;175;50
H;d;175;75
H;e;175;100
D;a;75;0
D;b;75;25
D;c;75;50
D;d;75;75
D;e;75;100
E;a;100;0
E;b;100;25
E;c;100;50
E;d;100;75
E;e;100;100
F;a;125;0
F;b;125;25
F;c;125;50
F;d;125;75
F;e;125;100
C;a;50;0
C;b;50;25
C;c;50;50
C;d;50;75
C;e;50;100
G;a;150;0
G;b;150;25
G;c;150;50
G;d;150;75
G;e;150;100
I;a;200;0
I;b;200;25
I;c;200;50
I;d;200;75
I;e;200;100
J;a;225;0
J;b;225;25
J;c;225;50
J;d;225;75
J;e;225;100
