properties;2
parameters;2
A;a;2.0;0.252226767047
A;b;2.0;0.985739670943
A;c;2.0;0.980375476375
A;d;2.0;0.572746989656
A;e;2.0;0.471344855796
B;a;2.0;0.294646460671
B;b;2.0;0.765897996258
B;c;2.0;0.79131740275
B;d;2.0;0.856280159367
B;e;2.0;0.941609522703
C;a;2.0;0.755018783066
C;b;2.0;0.542511873611
C;c;2.0;0.968447549801
C;d;2.0;0.930642167718
C;e;2.0;0.546664346442
D;a;2.0;0.0125774868436
D;b;2.0;0.333443725665
D;c;2.0;0.760074683948
D;d;2.0;0.338755449907
D;e;2.0;0.703181562655
E;a;2.0;0.444045967661
E;b;2.0;0.408363139285
E;c;2.0;0.863552392111
E;d;2.0;0.77740870537
E;e;2.0;0.112184251575
F;a;2.0;0.736065504755
F;b;2.0;0.565866117501
F;c;2.0;0.862790797958
F;d;2.0;0.570070027331
F;e;2.0;0.496594683048
G;a;2.0;0.638650972469
G;b;2.0;0.0928836848462
G;c;2.0;0.940039824747
G;d;2.0;0.998244780602
G;e;2.0;0.90886345619
H;a;2.0;0.21364697453
H;b;2.0;0.501279679123
H;c;2.0;0.677269673854
H;d;2.0;0.565209031942
H;e;2.0;0.609011653414
I;a;2.0;0.652280312268
I;b;2.0;0.265892641275
I;c;2.0;0.34572158889
I;d;2.0;0.496766106858
I;e;2.0;0.179644002502
J;a;2.0;0.305539906947
J;b;2.0;0.180252406249
J;c;2.0;0.777872381699
J;d;2.0;0.511812550987
J;e;2.0;0.472662699344
