properties;0
parameters;5;major;minor;diag;len;surf
3.85;3.85;3.85;12.10;11.65
0.13;0.98;0.99;2.22;0.13
1.18;4.64;4.78;11.64;5.48
3.12;0.03;3.12;6.31;0.10
0.26;2.30;2.31;5.11;0.59
0.60;0.60;0.60;1.89;0.28
0.32;3.53;3.54;7.69;1.13
3.87;2.68;7.21;22.66;40.38
4.68;3.25;8.18;25.68;49.92
4.21;2.92;7.17;22.52;37.37
3.52;3.52;3.52;11.07;9.75
0.24;4.27;4.28;9.01;1.01
4.91;4.91;4.91;15.42;18.92
3.50;3.50;3.50;10.99;9.61
1.18;4.49;4.65;11.35;5.31
2.54;2.54;2.54;7.99;5.08
1.02;1.02;1.02;3.20;0.81
2.14;4.27;4.78;12.81;9.12
0.93;3.09;3.23;8.03;2.87
2.90;2.90;2.90;9.12;6.62
0.84;2.44;2.58;6.56;2.06
2.62;2.62;2.62;8.24;5.40
4.60;4.60;4.60;14.46;16.64
2.24;1.55;3.66;11.49;9.08
2.50;2.50;2.50;7.85;4.90
4.78;3.32;8.15;25.62;48.37
2.57;2.57;2.57;8.07;5.18
1.12;3.40;3.58;9.03;3.80
0.32;2.15;2.17;4.93;0.68
2.36;2.36;2.36;7.40;4.36
2.32;2.32;2.32;7.28;4.22
1.01;3.50;3.64;9.02;3.54
1.42;0.99;2.43;7.62;4.28
2.25;1.56;3.83;12.04;10.64
2.79;2.79;2.79;8.78;6.13
3.74;3.74;3.74;11.75;10.99
2.84;2.84;2.84;8.93;6.35
4.36;4.36;4.36;13.70;14.94
3.76;3.76;3.76;11.81;11.10
1.58;1.58;1.58;4.96;1.96
3.26;3.26;3.26;10.25;8.36
2.92;2.92;2.92;9.18;6.71
2.45;2.45;2.45;7.68;4.70
2.18;4.60;5.09;13.56;10.04
4.36;0.53;4.39;9.78;2.32
4.70;3.26;8.11;25.48;48.52
1.04;4.37;4.49;10.82;4.55
4.11;4.11;4.11;12.90;13.25
2.08;4.70;5.14;13.56;9.79
2.92;2.92;2.92;9.16;6.67
0.95;3.35;3.48;8.60;3.18
1.05;4.16;4.29;10.40;4.35
0.14;4.58;4.58;9.44;0.64
3.74;3.74;3.74;11.76;11.00
1.69;1.17;2.84;8.91;5.76
4.87;4.87;4.87;15.29;18.60
2.37;2.37;2.37;7.45;4.42
1.97;4.81;5.19;13.54;9.45
3.06;3.06;3.06;9.60;7.34
4.95;0.54;4.98;10.98;2.69
4.72;0.33;4.73;10.09;1.54
1.53;1.06;2.57;8.08;4.73
2.72;2.72;2.72;8.53;5.79
2.46;2.46;2.46;7.71;4.74
3.78;3.78;3.78;11.88;11.24
3.81;2.64;6.75;21.19;34.34
1.57;1.09;2.66;8.34;5.09
4.95;0.58;4.99;11.07;2.87
3.96;2.75;6.78;21.29;33.54
0.76;3.21;3.30;7.94;2.43
0.53;1.53;1.62;4.12;0.81
3.66;3.66;3.66;11.49;10.51
1.96;3.75;4.23;11.42;7.35
0.66;1.23;1.40;3.78;0.81
0.59;3.68;3.72;8.52;2.15
4.88;3.38;8.78;27.57;58.83
4.45;0.27;4.46;9.45;1.22
1.33;4.56;4.75;11.78;6.08
0.44;3.88;3.91;8.65;1.72
4.25;4.25;4.25;13.35;14.17
2.66;2.66;2.66;8.35;5.54
2.67;2.67;2.67;8.38;5.59
1.30;1.30;1.30;4.10;1.34
0.42;2.97;3.00;6.78;1.26
1.98;1.98;1.98;6.21;3.07
3.13;3.13;3.13;9.84;7.70
2.53;2.53;2.53;7.96;5.04
2.58;2.58;2.58;8.10;5.23
0.80;4.72;4.79;11.04;3.78
0.76;0.76;0.76;2.39;0.46
3.49;3.49;3.49;10.98;9.59
0.71;4.32;4.38;10.06;3.06
4.68;3.25;7.88;24.75;44.39
3.66;2.54;5.84;18.35;22.04
1.44;3.85;4.11;10.59;5.56
3.17;3.17;3.17;9.95;7.88
2.50;0.24;2.51;5.47;0.60
0.33;3.50;3.52;7.66;1.14
1.21;1.21;1.21;3.79;1.14
4.62;3.20;7.78;24.44;43.34
4.86;4.86;4.86;15.27;18.56
1.18;0.82;1.88;5.90;2.27
1.44;0.04;1.44;2.96;0.05
4.83;4.83;4.83;15.18;18.34
3.29;3.29;3.29;10.35;8.52
1.90;0.13;1.90;4.06;0.24
2.90;2.90;2.90;9.12;6.61
1.63;4.76;5.03;12.76;7.73
1.36;1.36;1.36;4.27;1.45
0.84;0.84;0.84;2.65;0.56
2.89;2.89;2.89;9.08;6.56
3.64;3.64;3.64;11.45;10.43
0.75;4.51;4.57;10.52;3.39
0.30;0.83;0.88;2.25;0.25
2.74;2.74;2.74;8.59;5.88
0.39;1.53;1.58;3.84;0.60
0.98;4.80;4.90;11.57;4.71
0.63;4.87;4.91;11.01;3.07
0.39;2.51;2.54;5.79;0.97
0.49;2.74;2.78;6.46;1.34
0.39;0.39;0.39;1.23;0.12
0.66;4.75;4.79;10.82;3.14
1.95;0.06;1.95;4.03;0.12
4.46;3.09;7.13;22.41;33.00
3.16;2.19;5.05;15.86;16.56
0.33;4.61;4.62;9.88;1.54
2.02;2.02;2.02;6.34;3.20
0.91;3.99;4.09;9.78;3.61
2.32;4.43;5.00;13.49;10.26
2.60;2.60;2.60;8.16;5.30
1.64;1.64;1.64;5.17;2.12
2.10;2.10;2.10;6.61;3.48
0.63;0.63;0.63;1.98;0.31
0.44;3.00;3.04;6.89;1.32
4.93;4.93;4.93;15.48;19.07
2.31;1.60;4.11;12.91;12.81
0.97;2.32;2.52;6.58;2.24
0.25;1.81;1.83;4.12;0.46
3.26;3.26;3.26;10.26;8.37
2.78;2.78;2.78;8.72;6.06
3.89;3.89;3.89;12.22;11.88
1.01;1.01;1.01;3.17;0.80
2.11;2.11;2.11;6.62;3.48
1.61;3.15;3.54;9.53;5.08
